iter	RMSE
0	78929.45196
1	78172.25665
2	77592.10355
3	77112.03614
4	76690.6862
5	76321.02902
6	76028.75525
7	75767.65183
8	75573.77232
9	75408.41439
10	75245.60935
11	75112.88048
12	75005.03369
13	74926.47031
14	74852.35776
15	74783.21303
16	74703.33628
17	74638.99868
18	74578.573
19	74534.0674
20	74487.58733
21	74460.82752
22	74447.97381
23	74418.56224
24	74364.61238
25	74323.56937
26	74299.82002
27	74269.35436
28	74240.20964
29	74221.24466
30	74211.30808
31	74185.91297
32	74145.70989
33	74128.174
34	74109.72187
35	74086.4565
36	74086.16135
37	74063.17103
38	74048.24437
39	74042.46246
40	74018.25469
41	74006.26148
42	74006.25346
43	74003.20007
44	73996.41267
45	73987.22353
46	73978.01484
47	73975.65931
48	73966.45481
49	73951.00555
50	73950.8454
51	73947.83614
52	73946.15342
53	73944.5169
54	73938.42926
55	73924.66902
56	73903.1818
57	73898.55336
58	73888.53498
59	73888.53197
60	73872.93836
61	73872.86118
62	73861.1219
63	73856.50788
64	73846.99854
65	73846.58597
66	73844.22062
67	73826.94324
68	73823.7933
69	73822.44015
70	73821.0412
71	73799.6089
72	73794.92575
73	73780.0484
74	73779.70715
75	73779.39837
76	73759.79113
77	73755.4511
78	73754.81234
79	73749.88153
80	73739.74838
81	73716.73418
82	73712.64006
83	73705.13929
84	73700.54732
85	73698.0629
86	73696.87148
87	73690.93464
88	73690.08309
89	73690.07556
90	73676.38378
91	73673.99462
92	73668.10996
93	73667.03865
94	73662.5771
95	73649.74848
96	73643.9044
97	73638.89931
98	73623.24703
99	73622.11496
100	73622.04731
101	73599.41609
102	73595.13374
103	73590.09592
104	73582.82146
105	73578.01384
106	73572.16559
107	73570.48617
108	73570.18622
109	73570.03713
110	73569.28043
111	73569.26946
112	73569.10825
113	73556.85652
114	73550.71611
115	73520.62849
116	73519.87427
117	73519.85056
118	73504.98603
119	73495.35442
120	73486.55828
121	73467.25852
122	73456.78271
123	73450.37694
124	73447.25028
125	73447.24937
126	73447.24707
127	73439.24122
128	73435.47348
129	73417.93364
130	73411.38447
131	73406.68574
132	73390.73014
133	73389.43203
134	73389.41648
135	73389.21419
136	73389.21146
137	73375.05274
138	73362.85266
139	73358.69064
140	73357.26599
141	73354.2733
142	73353.0972
143	73350.70508
144	73349.65866
145	73345.66071
146	73342.25673
147	73342.25176
148	73342.20427
149	73342.09787
150	73335.491
151	73332.5725
152	73331.74887
153	73331.295
154	73331.08793
155	73319.42114
156	73318.11855
157	73289.44179
158	73281.55863
159	73269.08447
160	73268.23802
161	73263.89563
162	73263.63217
163	73244.57679
164	73242.21787
165	73237.70688
166	73222.98454
167	73209.06008
168	73205.74553
169	73202.43369
170	73196.94923
171	73193.17305
172	73193.03083
173	73190.28295
174	73176.83971
175	73169.31652
176	73167.6682
177	73164.83521
178	73164.14453
179	73144.06615
180	73143.89418
181	73125.63031
182	73121.4965
183	73104.32532
184	73104.22102
185	73077.35007
186	73075.69767
187	73064.49196
188	73056.76635
189	73056.56496
190	73033.2631
191	73023.33009
192	73019.59822
193	73013.17941
194	73011.62818
195	73010.97401
196	73010.44794
197	73010.38052
198	73006.8567
199	73006.31314
200	72998.14138
201	72997.37832
202	72993.06892
203	72987.45269
204	72986.52393
205	72966.71807
206	72962.26802
207	72961.85916
208	72960.93262
209	72939.71399
210	72936.72697
211	72936.30792
212	72925.00626
213	72922.84843
214	72917.23011
215	72906.44332
216	72906.04151
217	72902.73149
218	72902.41196
219	72893.03744
220	72892.88969
221	72892.57372
222	72892.19735
223	72891.75321
224	72891.60892
225	72887.38426
226	72884.22988
227	72879.24515
228	72869.33805
229	72856.19936
230	72851.81927
231	72851.53219
232	72846.85811
233	72844.21632
234	72838.33201
235	72828.5318
236	72815.99866
237	72804.82845
238	72796.38382
239	72796.29439
240	72794.46011
241	72781.85557
242	72781.56131
243	72780.22304
244	72780.19597
245	72779.52406
246	72770.02366
247	72763.81354
248	72763.69666
249	72756.84821
250	72755.39267
251	72754.54262
252	72750.96705
253	72748.57101
254	72741.66037
255	72741.36061
256	72739.12442
257	72734.15608
258	72727.89193
259	72727.65226
260	72722.36621
261	72711.61067
262	72692.52385
263	72691.84247
264	72683.74643
265	72681.23478
266	72680.50647
267	72674.78324
268	72671.51962
269	72665.98142
270	72665.43675
271	72663.84007
272	72663.65865
273	72661.18099
274	72654.7965
275	72653.66157
276	72652.06362
277	72615.65334
278	72608.35427
279	72603.40496
280	72599.29941
281	72588.94815
282	72584.58136
283	72583.18349
284	72578.87443
285	72510.21958
286	72507.75187
287	72501.92113
288	72491.35133
289	72478.49516
290	72476.04676
291	72475.79177
292	72472.06961
293	72471.4573
294	72469.55304
295	72461.74433
296	72457.52032
297	72451.01553
298	72449.53172
299	72449.4727
300	72444.86995
301	72439.95944
302	72435.94717
303	72435.91948
304	72431.81383
305	72416.76895
306	72415.14944
307	72410.63764
308	72410.23561
309	72409.03049
310	72404.7963
311	72400.84923
312	72379.45403
313	72372.14274
314	72368.66864
315	72366.20038
316	72366.01584
317	72365.88225
318	72362.42927
319	72361.80831
320	72355.88194
321	72351.67192
322	72350.1169
323	72348.99652
324	72337.92558
325	72337.76937
326	72335.56588
327	72329.18368
328	72325.46351
329	72321.87397
330	72311.19142
331	72274.15308
332	72270.76528
333	72265.80305
334	72265.6312
335	72263.32514
336	72248.31466
337	72239.77716
338	72239.45298
339	72232.1371
340	72228.39863
341	72226.47926
342	72221.67051
343	72220.31765
344	72202.01294
345	72152.2964
346	72149.33325
347	72149.25699
348	72139.93621
349	72138.118
350	72130.10983
351	72122.39826
352	72122.05908
353	72114.76029
354	72110.30975
355	72109.3917
356	72108.19636
357	72096.55627
358	72081.13129
359	72079.12012
360	72072.60297
361	72058.14037
362	72056.31359
363	72035.84821
364	72024.93846
365	72009.48598
366	72004.92219
367	72003.04098
368	72002.2454
369	72001.92466
370	71988.05557
371	71988.0488
372	71977.5746
373	71967.67745
374	71965.50409
375	71958.42167
376	71957.91099
377	71950.54084
378	71948.29202
379	71928.01754
380	71918.21108
381	71915.60192
382	71910.39845
383	71904.18317
384	71900.561
385	71897.69053
386	71894.19212
387	71883.92956
388	71882.95567
389	71873.8735
390	71872.65423
391	71871.5862
392	71870.82108
393	71865.76285
394	71861.40705
395	71859.52068
396	71854.86264
397	71852.39947
398	71844.43789
399	71842.71487
400	71841.27809
401	71836.92191
402	71829.065
403	71813.65032
404	71803.44877
405	71803.43722
406	71800.29641
407	71780.46558
408	71717.2568
409	71716.0531
410	71714.31077
411	71712.74849
412	71710.25291
