iter	Passed	Remaining
0	38	38773
1	63	31841
2	94	31543
3	120	29968
4	140	27865
5	166	27548
6	191	27216
7	219	27185
8	240	26480
9	264	26190
10	286	25750
11	303	25025
12	325	24708
13	351	24771
14	373	24502
15	391	24096
16	416	24099
17	439	23964
18	457	23601
19	477	23415
20	505	23561
21	520	23159
22	544	23115
23	562	22889
24	585	22831
25	603	22623
26	627	22596
27	648	22521
28	667	22336
29	685	22162
30	708	22150
31	731	22113
32	756	22172
33	773	21984
34	792	21851
35	810	21716
36	827	21526
37	846	21441
38	867	21384
39	889	21338
40	914	21393
41	934	21324
42	944	21015
43	961	20898
44	981	20831
45	1006	20864
46	1028	20854
47	1050	20841
48	1079	20957
49	1101	20919
50	1117	20796
51	1137	20740
52	1154	20630
53	1170	20498
54	1192	20489
55	1213	20458
56	1232	20394
57	1249	20296
58	1271	20271
59	1279	20042
60	1300	20021
61	1316	19910
62	1335	19868
63	1360	19891
64	1383	19898
65	1407	19921
66	1428	19889
67	1445	19810
68	1463	19745
69	1483	19714
70	1507	19729
71	1532	19751
72	1558	19786
73	1597	19984
74	1613	19902
75	1631	19833
76	1653	19817
77	1674	19792
78	1688	19682
79	1707	19632
80	1726	19583
81	1744	19533
82	1767	19531
83	1787	19497
84	1812	19511
85	1834	19493
86	1849	19408
87	1872	19410
88	1900	19456
89	1916	19382
90	1981	19796
91	2005	19789
92	2026	19764
93	2042	19689
94	2057	19599
95	2073	19528
96	2091	19474
97	2110	19427
98	2128	19369
99	2140	19263
100	2149	19133
101	2167	19082
102	2190	19077
103	2208	19030
104	2230	19013
105	2253	19008
106	2277	19009
107	2298	18985
108	2316	18935
109	2325	18818
110	2341	18756
111	2361	18722
112	2383	18712
113	2407	18714
114	2426	18673
115	2442	18613
116	2460	18573
117	2469	18459
118	2489	18431
119	2508	18399
120	2526	18351
121	2543	18302
122	2569	18324
123	2585	18263
124	2603	18223
125	2609	18102
126	2615	17981
127	2637	17969
128	2658	17951
129	2681	17946
130	2705	17950
131	2740	18022
132	2762	18007
133	2788	18019
134	2807	17988
135	2825	17949
136	2834	17852
137	2862	17880
138	2893	17921
139	2918	17930
140	2940	17916
141	2961	17896
142	2980	17861
143	2996	17812
144	3018	17800
145	3034	17751
146	3057	17741
147	3070	17673
148	3086	17626
149	3101	17572
150	3122	17557
151	3144	17545
152	3159	17492
153	3178	17459
154	3194	17417
155	3216	17404
156	3237	17385
157	3260	17377
158	3279	17344
159	3301	17331
160	3323	17318
161	3348	17318
162	3366	17284
163	3384	17251
